date,et
1980-10-01,-7.327046958781663e-20
1980-10-02,-1.441931679526605e-19
1980-10-03,0.02400789223611355
1980-10-04,0.058141540735960014
1980-10-05,0.05424480885267258
1980-10-06,0.05228719487786292
1980-10-07,0.05096094682812691
1980-10-08,0.04493505880236626
1980-10-09,0.05245080217719079
1980-10-10,0.03644998744130135
1980-10-11,0.040064394474029534
1980-10-12,0.06166872009634971
1980-10-13,0.05888660997152328
1980-10-14,0.04407770186662674
1980-10-15,0.03738037869334221
1980-10-16,0.04502743482589722
1980-10-17,0.05525961145758629
1980-10-18,0.07668685168027879
1980-10-19,0.12016867846250535
1980-10-20,0.0946158319711685
1980-10-21,0.07398606836795807
1980-10-22,0.06786355376243591
1980-10-23,0.061762053519487374
1980-10-24,0.05879205837845801
1980-10-25,0.06923101842403412
1980-10-26,0.14011164009571075
1980-10-27,0.11691386997699735
1980-10-28,0.10744833201169968
1980-10-29,0.09652534127235413
1980-10-30,0.09564427286386488
1980-10-31,0.09921008348464964
1980-11-01,0.12417469173669815
1980-11-02,0.10035759955644608
1980-11-03,0.07097166031599045
1980-11-04,0.08625266700983046
1980-11-05,0.1417197287082672
1980-11-06,0.10961636900901794
1980-11-07,0.09737791866064073
1980-11-08,0.12751691043376923
1980-11-09,0.09763486683368681
1980-11-10,0.11458733677864072
1980-11-11,0.11239157617092131
1980-11-12,0.08692684024572371
1980-11-13,0.09836153686046599
1980-11-14,0.12600305676460266
1980-11-15,0.10993624478578568
1980-11-16,0.08714512735605237
1980-11-17,0.06804203242063521
1980-11-18,0.07954283058643341
1980-11-19,0.07126425206661224
1980-11-20,0.07366607338190079
1980-11-21,0.08923682570457457
1980-11-22,0.08785383403301238
1980-11-23,0.08393959701061247
1980-11-24,0.0972725823521614
1980-11-25,0.15225067734718323
1980-11-26,0.1292572468519211
1980-11-27,0.1118154525756836
1980-11-28,0.09809640049934387
1980-11-29,0.1508606821298599
1980-11-30,0.14467328786849978
1980-12-01,0.1448235809803009
1980-12-02,0.18391595780849454
1980-12-03,0.1745465099811554
1980-12-04,0.1186659261584282
1980-12-05,0.07406601309776306
1980-12-06,0.06927203387022017
1980-12-07,0.09747801721096039
1980-12-08,0.12953294813632962
1980-12-09,0.20741477608680722
1980-12-10,0.11823682487010957
1980-12-11,0.07914023846387863
1980-12-12,0.04839080572128296
1980-12-13,0.09095469862222672
1980-12-14,0.07976720482110977
1980-12-15,0.050813231617212296
1980-12-16,0.05178851634263992
1980-12-17,0.06384095549583436
1980-12-18,0.052179146558046334
1980-12-19,0.08802192658185959
1980-12-20,0.05052480474114417
1980-12-21,0.037875492125749595
1980-12-22,0.03919294103980064
1980-12-23,0.04985329508781433
1980-12-24,0.09468238055706024
1980-12-25,0.05063229799270629
1980-12-26,0.021443845704197884
1980-12-27,0.046774759888648994
1980-12-28,0.0612424612045288
1980-12-29,0.11706107109785083
1980-12-30,0.1666920781135559
1980-12-31,0.13982947170734403
1981-01-01,0.04676746204495429
1981-01-02,0.06132241338491441
1981-01-03,0.04477662220597268
1981-01-04,0.021867061033844948
1981-01-05,0.02967516146600246
1981-01-06,0.04783732071518898
1981-01-07,0.06760467588901518
1981-01-08,0.06882943958044052
1981-01-09,0.04277603328227997
1981-01-10,0.04937664791941643
1981-01-11,0.04451212659478188
1981-01-12,0.03353360295295715
1981-01-13,0.03899410739541054
1981-01-14,0.045708369463682175
1981-01-15,0.05232962965965271
1981-01-16,0.06135952100157738
1981-01-17,0.0683455690741539
1981-01-18,0.06441156566143036
1981-01-19,0.10181787610054016
1981-01-20,0.1194383427500725
1981-01-21,0.06697387993335724
1981-01-22,0.06986039876937866
1981-01-23,0.10121256113052368
1981-01-24,0.10162223875522611
1981-01-25,0.0960819125175476
1981-01-26,0.1166488602757454
1981-01-27,0.1798880249261856
1981-01-28,0.1301831752061844
1981-01-29,0.08183154463768005
1981-01-30,0.06960172206163406
1981-01-31,0.06205099448561668
1981-02-01,0.0880795940756798
1981-02-02,0.14854419231414792
1981-02-03,0.13904367387294767
1981-02-04,0.062135431915521615
1981-02-05,0.061404351145029075
1981-02-06,0.05991676077246666
1981-02-07,0.08557557314634323
1981-02-08,0.13302691280841827
1981-02-09,0.13154125213623044
1981-02-10,0.09079916030168532
1981-02-11,0.12538951635360718
1981-02-12,0.1754283308982849
1981-02-13,0.06771483272314073
1981-02-14,0.10212747752666472
1981-02-15,0.12677662074565887
1981-02-16,0.18342372775077817
1981-02-17,0.2566886246204376
1981-02-18,0.29771992564201355
1981-02-19,0.30389085412025446
1981-02-20,0.3504648506641388
1981-02-21,0.4582541584968567
1981-02-22,0.4408270716667175
1981-02-23,0.3900965452194214
1981-02-24,0.3885189890861511
1981-02-25,0.3875626027584076
1981-02-26,0.39001604914665217
1981-02-27,0.36942562460899353
1981-02-28,0.304524153470993
1981-03-01,0.33795908093452454
1981-03-02,0.33237698674201965
1981-03-03,0.293169230222702
1981-03-04,0.19747070968151087
1981-03-05,0.23243525624275205
1981-03-06,0.2575655877590179
1981-03-07,0.3661167621612549
1981-03-08,0.3756564557552338
1981-03-09,0.34600651264190674
1981-03-10,0.34317514300346375
1981-03-11,0.32569095492362976
1981-03-12,0.289456844329834
1981-03-13,0.3248186111450196
1981-03-14,0.3445749282836914
1981-03-15,0.23680078983306885
1981-03-16,0.34316095709800715
1981-03-17,0.2611693441867828
1981-03-18,0.22458671033382413
