date,et
1980-10-01,-7.22787252698053e-20
1980-10-02,0.005545418243855238
1980-10-03,0.009767469950020313
1980-10-04,0.018492186442017555
1980-10-05,0.013823116198182106
1980-10-06,0.012775357812643051
1980-10-07,0.020099148154258725
1980-10-08,0.023764031007885926
1980-10-09,0.025451572611927983
1980-10-10,0.020368302240967754
1980-10-11,0.03652586787939072
1980-10-12,0.0408191904425621
1980-10-13,0.03212539479136466
1980-10-14,0.03622050955891609
1980-10-15,0.050257608294487
1980-10-16,0.06303563714027405
1980-10-17,0.07616588473320006
1980-10-18,0.09494552761316301
1980-10-19,0.0721001848578453
1980-10-20,0.060244813561439514
1980-10-21,0.059641804546117776
1980-10-22,0.05759865045547485
1980-10-23,0.04861002787947655
1980-10-24,0.05067450925707817
1980-10-25,0.06703895330429076
1980-10-26,0.10807913541793823
1980-10-27,0.10324127972126007
1980-10-28,0.11044815927743913
1980-10-29,0.10556492209434509
1980-10-30,0.1100504994392395
1980-10-31,0.12595342099666595
1980-11-01,0.12380629777908322
1980-11-02,0.10202496498823165
1980-11-03,0.10865426063537596
1980-11-04,0.14830562472343442
1980-11-05,0.14181651175022128
1980-11-06,0.10577494651079178
1980-11-07,0.14173561334609985
1980-11-08,0.1801089197397232
1980-11-09,0.13954409956932068
1980-11-10,0.14886271953582764
1980-11-11,0.09715041518211362
1980-11-12,0.10456440597772598
1980-11-13,0.12595179677009583
1980-11-14,0.1464444100856781
1980-11-15,0.12921781837940216
1980-11-16,0.09776468575000763
1980-11-17,0.07964225113391873
1980-11-18,0.07725156843662262
1980-11-19,0.09167774021625517
1980-11-20,0.09480516612529753
1980-11-21,0.0855371877551079
1980-11-22,0.09985905885696411
1980-11-23,0.10764628648757935
1980-11-24,0.11767420917749408
1980-11-25,0.11991213262081148
1980-11-26,0.09112016856670381
1980-11-27,0.09667257219552991
1980-11-28,0.11168416589498521
1980-11-29,0.10873640328645705
1980-11-30,0.12642669677734378
1980-12-01,0.15672470629215238
1980-12-02,0.1704406887292862
1980-12-03,0.1316322386264801
1980-12-04,0.07532640546560286
1980-12-05,0.0853990688920021
1980-12-06,0.09895116835832594
1980-12-07,0.13483910262584686
1980-12-08,0.2203279286623001
1980-12-09,0.22630538046360016
1980-12-10,0.14836101233959198
1980-12-11,0.09281568229198456
