date,s0
1980-10-01,0.0
1980-10-02,0.0
1980-10-03,0.0
1980-10-04,0.0
1980-10-05,0.0
1980-10-06,0.0
1980-10-07,0.0
1980-10-08,0.0
1980-10-09,0.0
1980-10-10,0.0
1980-10-11,0.0
1980-10-12,0.0
1980-10-13,0.0
1980-10-14,6.391750048351241e-06
1980-10-15,1.4773896932601929
1980-10-16,1.4773896932601929
1980-10-17,1.4773896932601929
1980-10-18,1.6689300537109377e-06
1980-10-19,8.344580919583677e-07
1980-10-20,4.1722731225490866e-07
1980-10-21,2.0861322980181285e-07
1980-10-22,1.043065012140687e-07
1980-10-23,5.21532257380386e-08
1980-10-24,2.607660753994878e-08
1980-10-25,1.3038301993617553e-08
1980-10-26,1.1109657407359919e-06
1980-10-27,0.00018109871598426244
1980-10-28,9.046741615748033e-05
1980-10-29,4.5213248085929074e-05
1980-10-30,2.260151450172998e-05
1980-10-31,1.1299480320303701e-05
1980-11-01,5.649420927511527e-06
1980-11-02,2.8246306555956835e-06
1980-11-03,1.4122954326012403e-06
1980-11-04,7.061427709231794e-07
1980-11-05,3.530701349063748e-07
1980-11-06,1.7653475481438366e-07
1980-11-07,8.826730635291824e-08
1980-11-08,4.413363186017705e-08
1980-11-09,2.2066810601018002e-08
1980-11-10,1.1033404412330585e-08
1980-11-11,5.5167173051984256e-09
1980-11-12,5.5167173051984256e-09
1980-11-13,5.5167173051984256e-09
1980-11-14,5.5167173051984256e-09
1980-11-15,5.5167173051984256e-09
1980-11-16,5.5167173051984256e-09
1980-11-17,0.005906569771468639
1980-11-18,0.0035941267851740126
1980-11-19,0.002410605084151029
1980-11-20,0.001191248302347958
1980-11-21,0.031929928809404366
1980-11-22,0.059875305742025375
1980-11-23,0.05996229499578475
1980-11-24,0.05996229499578475
1980-11-25,0.05996229499578475
1980-11-26,0.021551419049501416
1980-11-27,0.009619024582207203
1980-11-28,0.004578376654535532
1980-11-29,0.0022367937490344048
1980-11-30,0.0011952555505558848
1980-12-01,0.7500451207160947
1980-12-02,0.7891436815261839
1980-12-03,0.8767263293266296
1980-12-04,28.196256637573242
1980-12-05,35.79625701904297
1980-12-06,35.79625701904297
1980-12-07,35.79625701904297
1980-12-08,35.79625701904297
1980-12-09,35.79625701904297
1980-12-10,35.79625701904297
1980-12-11,35.79625701904297
1980-12-12,35.752738952636726
1980-12-13,34.93788528442383
1980-12-14,32.43984603881836
1980-12-15,23.7246036529541
1980-12-16,13.15535545349121
1980-12-17,4.056952476501465
1980-12-18,0.0
1980-12-19,0.0
1980-12-20,0.0
1980-12-21,0.0
1980-12-22,0.01605720818042755
1980-12-23,0.010958172380924223
1980-12-24,0.03770583868026733
1980-12-25,0.015340114012360575
1980-12-26,0.007082910276949405
1980-12-27,0.0034160884097218513
1980-12-28,0.0016788729699328542
1980-12-29,0.0008323901565745474
1980-12-30,0.00041446290560998017
1980-12-31,0.0002068019966827705
1981-01-01,0.02337843924760819
1981-01-02,0.02442743070423603
1981-01-03,0.011169289238750935
1981-01-04,0.005276169162243605
1981-01-05,0.005437975283712149
1981-01-06,0.03688475117087364
1981-01-07,0.052993439137935645
1981-01-08,0.021135922521352768
1981-01-09,0.03945818543434143
1981-01-10,0.06120101362466813
1981-01-11,0.06439024209976196
1981-01-12,0.06712573766708375
1981-01-13,0.036899521946907037
1981-01-14,0.01992073468863964
1981-01-15,0.008983067236840725
1981-01-16,0.004952401854097843
1981-01-17,0.004953542724251747
1981-01-18,0.0024299914948642254
1981-01-19,0.0012002434814348817
1981-01-20,0.0005965841701254249
1981-01-21,0.00029740232275798917
1981-01-22,0.00014848004502709952
1981-01-23,0.023313367739319805
1981-01-24,12.493313789367678
1981-01-25,12.493313789367678
1981-01-26,45.3833122253418
1981-01-27,48.03912353515624
1981-01-28,94.60910034179689
1981-01-29,121.6990966796875
1981-01-30,135.569091796875
1981-01-31,143.819091796875
1981-02-01,143.819091796875
1981-02-02,143.819091796875
1981-02-03,143.819091796875
1981-02-04,143.819091796875
1981-02-05,143.819091796875
1981-02-06,143.819091796875
1981-02-07,143.819091796875
1981-02-08,148.6014862060547
1981-02-09,148.6416015625
1981-02-10,148.6416015625
1981-02-11,156.35789489746094
1981-02-12,156.35789489746094
1981-02-13,156.41107177734375
1981-02-14,152.6027679443359
1981-02-15,151.63026428222656
1981-02-16,149.58998107910156
1981-02-17,147.11666870117188
1981-02-18,143.09823608398435
1981-02-19,137.5595245361328
1981-02-20,137.5595245361328
1981-02-21,137.5595245361328
1981-02-22,137.5675048828125
1981-02-23,135.11892700195312
1981-02-24,156.55578613281253
1981-02-25,163.55578613281253
1981-02-26,169.24578857421875
1981-02-27,169.24578857421875
1981-02-28,169.24578857421875
1981-03-01,169.24578857421875
