date,flow(mm)
1980-10-01,0.2025068700847531
1980-10-02,0.195756641081928
1980-10-03,0.2025068700847531
1980-10-04,0.2025068700847531
1980-10-05,0.195756641081928
1980-10-06,0.1755059540734526
1980-10-07,0.1755059540734526
1980-10-08,0.1755059540734526
1980-10-09,0.1755059540734526
1980-10-10,0.1755059540734526
1980-10-11,0.2565087021073539
1980-10-12,0.2025068700847531
1980-10-13,0.1822561830762777
1980-10-14,0.1755059540734526
1980-10-15,0.1755059540734526
1980-10-16,0.1755059540734526
1980-10-17,0.1687557250706275
1980-10-18,0.4657658011949322
1980-10-19,0.3780128241582058
1980-10-20,0.2497584731045288
1980-10-21,0.2160073280904033
1980-10-22,0.2025068700847531
1980-10-23,0.1890064120791029
1980-10-24,0.1822561830762777
1980-10-25,0.6075206102542594
1980-10-26,0.7020238162938107
1980-10-27,0.3982635111666811
1980-10-28,0.4725160301977572
1980-10-29,0.5467685492288334
1980-10-30,0.4050137401695062
1980-10-31,0.3510119081469053
1980-11-01,0.3240109921356049
1980-11-02,0.2902598471214794
1980-11-03,0.2700091601130041
1980-11-04,0.33076122113843
1980-11-05,0.3037603051271297
1980-11-06,0.2767593891158292
1980-11-07,0.263258931110179
1980-11-08,0.2767593891158292
1980-11-09,0.2700091601130041
1980-11-10,0.2497584731045288
1980-11-11,0.2295077860960535
1980-11-12,0.2227575570932284
1980-11-13,0.2227575570932284
1980-11-14,0.2227575570932284
1980-11-15,0.2227575570932284
1980-11-16,0.2227575570932284
1980-11-17,0.2227575570932284
1980-11-18,0.2497584731045288
1980-11-19,0.2565087021073539
1980-11-20,0.2430082441017037
1980-11-21,0.2362580150988786
1980-11-22,0.2430082441017037
1980-11-23,0.2497584731045288
1980-11-24,0.3780128241582058
1980-11-25,0.7695261063220618
1980-11-26,0.5737694652401338
1980-11-27,1.1610393884859178
1980-11-28,2.9633505322402205
1980-11-29,1.9238152658051544
1980-11-30,1.5255517546384734
1980-12-01,1.6605563346949754
1980-12-02,1.5255517546384734
1980-12-03,1.316294655550895
1980-12-04,1.046285495437891
1980-12-05,0.9855334344124652
1980-12-06,1.0800366404520163
1980-12-07,1.4242983195960968
1980-12-08,1.7955609147514775
1980-12-09,2.092570990875782
1980-12-10,2.6460897691074403
1980-12-11,1.9238152658051544
1980-12-12,1.586303815663899
1980-12-13,1.3905471745819713
1980-12-14,1.1407887014774427
1980-12-15,1.032785037432241
1980-12-16,1.0125343504237656
1980-12-17,0.8707795413644384
1980-12-18,0.843778625353138
1980-12-19,0.843778625353138
1980-12-20,0.5670192362373088
1980-12-21,0.5400183202260083
1980-12-22,0.5130174042147079
1980-12-23,0.4860164882034074
1980-12-24,0.4590155721921071
1980-12-25,0.4455151141864569
1980-12-26,0.4320146561808066
1980-12-27,0.4185141981751564
1980-12-28,0.4050137401695062
1980-12-29,0.4590155721921071
1980-12-30,0.5400183202260083
1980-12-31,0.6345215262655598
1981-01-01,0.5670192362373088
1981-01-02,0.4995169462090577
1981-01-03,0.4455151141864569
1981-01-04,0.4050137401695062
1981-01-05,0.3780128241582058
1981-01-06,0.3510119081469053
1981-01-07,0.3375114501412551
1981-01-08,0.3037603051271297
1981-01-09,0.3037603051271297
1981-01-10,0.3037603051271297
1981-01-11,0.2902598471214794
1981-01-12,0.2835096181186544
1981-01-13,0.2700091601130041
1981-01-14,0.2700091601130041
1981-01-15,0.2700091601130041
1981-01-16,0.2700091601130041
1981-01-17,0.2700091601130041
1981-01-18,0.2700091601130041
1981-01-19,0.2700091601130041
1981-01-20,0.2700091601130041
1981-01-21,0.2700091601130041
1981-01-22,0.2700091601130041
1981-01-23,0.2700091601130041
1981-01-24,0.2700091601130041
1981-01-25,0.3037603051271297
1981-01-26,1.1272882434717924
1981-01-27,2.61908885309614
1981-01-28,1.6268051896808498
1981-01-29,0.9990338924181156
1981-01-30,0.8640293123616132
1981-01-31,1.1407887014774427
1981-02-01,1.29604396854242
1981-02-02,8.370283963503129
1981-02-03,2.828345952183718
1981-02-04,2.396331296002912
1981-02-05,1.3905471745819713
1981-02-06,1.2622928235282944
1981-02-07,1.1745398464915682
1981-02-08,1.0125343504237656
1981-02-09,0.8235279383446628
1981-02-10,0.8100274803390124
1981-02-11,2.855346868195019
1981-02-12,1.370296487573496
1981-02-13,1.4107978615904466
1981-02-14,1.2757932815339448
1981-02-15,1.2622928235282944
1981-02-16,1.545802441646949
1981-02-17,3.422366104432328
1981-02-18,3.361614043406902
1981-02-19,8.100274803390125
1981-02-20,20.52069616858832
1981-02-21,7.897767933305372
1981-02-22,4.394399080839142
1981-02-23,5.150424729155554
1981-02-24,5.454185034282683
1981-02-25,3.57087114249448
1981-02-26,2.544836334065064
1981-02-27,2.0723203038673064
1981-02-28,1.9238152658051544
1981-03-01,1.7213083957204014
1981-03-02,1.4850503806215227
1981-03-03,1.29604396854242
1981-03-04,1.1745398464915682
1981-03-05,1.545802441646949
1981-03-06,1.7010577087119263
1981-03-07,1.4107978615904466
1981-03-08,1.242042136519819
1981-03-09,1.1610393884859178
1981-03-10,1.107037556463317
1981-03-11,1.046285495437891
1981-03-12,0.96528274740399
1981-03-13,0.9382818313926894
1981-03-14,0.8505288543559631
1981-03-15,0.7965270223333621
1981-03-16,0.8910302283729138
1981-03-17,0.8100274803390124
1981-03-18,0.7560256483164116
1981-03-19,0.7290247323051111
1981-03-20,0.715524274299461
1981-03-21,0.7020238162938107
1981-03-22,0.6345215262655598
1981-03-23,0.5940201522486092
1981-03-24,0.5737694652401338
